record_id,source_type,source,title,event_date,entity_name,raw_text,penalty_amount,agency,region,url
REG_000012,regulation,NFRA,国家金融监督管理总局行政处罚信息公示列表 - 上海浦东发展银行股份有限公司及相关责任人员,2025-12-19,上海浦东发展银行股份有限公司及相关责任人员,"相关理财、代销等业务管理不审慎，员工管理不到位等
对上海浦东发展银行股份有限公司罚款1560万元。 对高红、何刚、陈 从 治、孔令 孜 、任威、黄 乃嘉 警告并罚款共计30万元。 对 穆矢 禁止15年从事银行业工作，对杨再斌禁止13年从事银行业工作，对鲁志勇禁止12年从事银行业工作，对代行禁止9年从事银行业工作，对裴英浩禁止7年从事银行业工作，对李沛禁止6年从事银行业工作，对张玉东禁止5年从事银行业工作。",1560.0,金融监管总局,上海,https://www.nfra.gov.cn/cn/view/pages/ItemDetail.html?docId=1238354&itemId=4113&generaltype=9
REG_000013,regulation,NFRA,国家金融监督管理总局行政处罚信息公示列表 - 安心财产保险有限责任公司 及相关责任人员,2025-12-19,安心财产保险有限责任公司 及相关责任人员,"未按照规定使用经批准或备案的保险条款、费率，保险理赔案件报送数据不真实等
对安心财产保险有限责任公司责令停止接受信用保证保险新业务36个月、停止接受短期健康保险新业务24个月、停止接受车辆保险新业务6个月。 对陈静、李浩 帆 、张怡 锴 、王莹、陈国正、王宏、张为、韩刚、王海东、杜 毓淇 、蒋安全、邢平、刘永鹏、吴华 男 警告并罚款共计77万元。 对钟诚禁 止 11 年 进入保险业，对王晖禁止 10 年 进入保险业，对李浩 帆 禁止8年进入保险业，对黄胜禁止6年进入保险业，对陈静禁止6年进入保险业。",77.0,金融监管总局,,https://www.nfra.gov.cn/cn/view/pages/ItemDetail.html?docId=1238354&itemId=4113&generaltype=9
REG_000014,regulation,NFRA,国家金融监督管理总局行政处罚信息公示列表 - 华夏久盈资产管理有限责任公司及相关责任人员,2025-12-19,华夏久盈资产管理有限责任公司及相关责任人员,"未按照规定运用保险公司资金等
对华夏久盈资产管理有限责任公司罚款70万元。对陈淑翠禁止10年进入保险业。",70.0,金融监管总局,,https://www.nfra.gov.cn/cn/view/pages/ItemDetail.html?docId=1238354&itemId=4113&generaltype=9
REG_000015,regulation,NFRA,国家金融监督管理总局行政处罚信息公示列表 - 中国农业发展银行员工 张眉,2025-12-19,中国农业发展银行员工 张眉,"违规发放贷款
对张眉警告并罚款5万元。",5.0,金融监管总局,,https://www.nfra.gov.cn/cn/view/pages/ItemDetail.html?docId=1238354&itemId=4113&generaltype=9
REG_000016,regulation,NFRA,国家金融监督管理总局行政处罚信息公示列表 - 兴业银行股份有限公司及相关责任人员,2025-12-05,兴业银行股份有限公司及相关责任人员,"外包机构管理不到位、企业划型不准确等
对兴业银行股份有限公司罚款720万元，对责任人员张浩警告并罚款6万元。",720.0,金融监管总局,,https://www.nfra.gov.cn/cn/view/pages/ItemDetail.html?docId=1236270&itemId=4113&generaltype=9
REG_000017,regulation,NFRA,国家金融监督管理总局行政处罚信息公示列表 - 民生通惠资产管理有限公司及相关责任人员,2025-11-14,民生通惠资产管理有限公司及相关责任人员,"未按照规定运用保险公司资金
对民生通惠资产管理有限公司罚款390万元。对宋云、鲁智钢、赵方莹、莫燕霞、薛立军警告并罚款共计29万元。",390.0,金融监管总局,,https://www.nfra.gov.cn/cn/view/pages/ItemDetail.html?docId=1233460&itemId=4113&generaltype=9
REG_000018,regulation,NFRA,国家金融监督管理总局行政处罚信息公示列表 - 中国 银行股份有限公司及相关责任人员,2025-10-31,中国 银行股份有限公司及相关责任人员,"相关公司治理、贷款、同业、票据、资产质量、不良资产处置等业务管理不审慎
对中国银行股份有限公司罚款9790万元。 对 陈 梓 、刘伶俐、张惠娟、何春耕、余荣刚警告并罚款合计30万元。",9790.0,金融监管总局,,https://www.nfra.gov.cn/cn/view/pages/ItemDetail.html?docId=1231550&itemId=4113&generaltype=9
REG_000019,regulation,NFRA,国家金融监督管理总局行政处罚信息公示列表 - 中国农业银行股份有限公司 及相关责任人员,2025-10-31,中国农业银行股份有限公司 及相关责任人员,"相关产品 销售、服务收费不合规 ， 信贷资金流向管理不审慎 等
对 中国农业银行股份有限公司 罚款2720万元。 对 张清 警告并罚款10万元。",2720.0,金融监管总局,,https://www.nfra.gov.cn/cn/view/pages/ItemDetail.html?docId=1231550&itemId=4113&generaltype=9
REG_000020,regulation,NFRA,国家金融监督管理总局行政处罚信息公示列表 - 中国民生银行股份有限公司及相关责任人员,2025-10-31,中国民生银行股份有限公司及相关责任人员,"相关贷款、票据、同业等业务管理不审慎，监管数据报送不合规等
对中国民生银行股份有限公司罚款5865万元。 对王周 屋 、向敏、李斌、何凡、王仲翔、黄绍辉警告并罚款合计36万元。",5865.0,金融监管总局,,https://www.nfra.gov.cn/cn/view/pages/ItemDetail.html?docId=1231550&itemId=4113&generaltype=9
REG_000021,regulation,NFRA,国家金融监督管理总局行政处罚信息公示列表 - 平安银行股份有限公司及相关责任人员,2025-10-31,平安银行股份有限公司及相关责任人员,"相关互联网贷款、代销等业务管理不审慎
对平安银行股份有限公司罚款1880万元。 对李丽红、庄燕警告并罚款合计10万元，对李立凡警告。",1880.0,金融监管总局,,https://www.nfra.gov.cn/cn/view/pages/ItemDetail.html?docId=1231550&itemId=4113&generaltype=9
