source,title,publish_time,stock_or_entity,content,read_count,comment_count,url,crawl_time
东方财富股吧,用银行来稳定盘面的，并不是银行板块会大涨！,06-08 10:46,平安银行(000001),用银行来稳定盘面的，并不是银行板块会大涨！,33,2,"https://guba.eastmoney.com/news,000001,1722272573.html",2026-06-08 14:35:30
东方财富股吧,不破不买…超散们加把劲四千在眼部了,06-05 02:37,平安银行(000001),不破不买…超散们加把劲四千在眼部了,59,2,"https://guba.eastmoney.com/news,000001,1721602764.html",2026-06-08 14:35:30
东方财富股吧,虽然你被踢出Ａ50了，但咱好歹也盯着000001的头衔吧，期待挣口气明天站在11,06-08 02:43,平安银行(000001),虽然你被踢出Ａ50了，但咱好歹也盯着000001的头衔吧，期待挣口气明天站在11,130,2,"https://guba.eastmoney.com/news,000001,1722007696.html",2026-06-08 14:35:30
东方财富股吧,银行指数是用来调节指数的，到时候也会动用白酒的？,06-08 10:57,平安银行(000001),银行指数是用来调节指数的，到时候也会动用白酒的？,27,0,"https://guba.eastmoney.com/news,000001,1722294750.html",2026-06-08 14:35:30
东方财富股吧,题材过山车，概念多凶险，赛道大起落，周期难把握，成长股更是难辨真假；,03-31 03:39,平安银行(000001),题材过山车，概念多凶险，赛道大起落，周期难把握，成长股更是难辨真假；,1343,29,"https://guba.eastmoney.com/news,000001,1687367141.html",2026-06-08 14:35:30
东方财富股吧,全世界的银行市盈率都在8到15倍·，市净率1.2左右！无论发达国家还是发展中国家,06-08 10:53,平安银行(000001),全世界的银行市盈率都在8到15倍·，市净率1.2左右！无论发达国家还是发展中国家,34,0,"https://guba.eastmoney.com/news,000001,1722286792.html",2026-06-08 14:35:30
东方财富股吧,卖了买不回来了跌一下我要买回来,06-08 09:58,平安银行(000001),卖了买不回来了跌一下我要买回来,47,1,"https://guba.eastmoney.com/news,000001,1722164464.html",2026-06-08 14:35:30
东方财富股吧,七月份会不会拉升上去吧？,06-08 10:30,平安银行(000001),七月份会不会拉升上去吧？,26,0,"https://guba.eastmoney.com/news,000001,1722240980.html",2026-06-08 14:35:30
东方财富股吧,银行股年内跌超5% 幸好还有高分红！6家银行下周发225亿红包 4家股息率超5%,06-06 08:08,平安银行(000001),银行股年内跌超5% 幸好还有高分红！6家银行下周发225亿红包 4家股息率超5%,10058,53,"https://guba.eastmoney.com/news,601398,1721830706.html",2026-06-08 14:35:30
东方财富股吧,已跑输，不唱空银行和了，举报王府井操纵后万手夹单，倒量砸全消失。仅靠空头融券4.,05-26 02:05,平安银行(000001),已跑输，不唱空银行和了，举报王府井操纵后万手夹单，倒量砸全消失。仅靠空头融券4.,216,2,"https://guba.eastmoney.com/news,601169,1714722434.html",2026-06-08 14:35:30
