entity_name,entity_type,region,event_count,total_penalty_amount,avg_risk_score,risk_level
中国平安,保险,未知,1,0.0,54.0,中
沪电,上市公司,未知,1,0.0,54.0,中
某某基金,基金,未知,2,0.0,53.95,中
民生银行,银行,未知,2,0.0,53.9,中
科技股ETF,基金,未知,1,0.0,53.8,中
某某科技股,上市公司,未知,1,0.0,53.8,中
公募、私募,基金,未知,1,0.0,53.7,中
小浦,上市公司,未知,1,0.0,53.7,中
平银五,其他,未知,1,0.0,53.7,中
华夏银行,银行,未知,1,0.0,53.7,中
恩情公司,上市公司,未知,1,0.0,53.6,中
富时a50,其他,未知,1,0.0,53.6,中
中国建设银行,银行,未知,2,0.0,53.599999999999994,中
招商银行,银行,未知,2,0.0,53.5,中
美银和中银,银行,未知,1,0.0,53.5,中
股份制银行,银行,未知,1,0.0,53.5,中
A50ETF,基金,未知,1,0.0,53.4,中
某证券公司,证券,未知,1,0.0,53.4,中
江苏银行,银行,未知,2,0.0,53.3,中
信达证券,证券,未知,1,0.0,53.3,中
"兴业银行, 招商银行, 中信银行",银行,未知,1,0.0,53.2,中
中国石化,上市公司,未知,1,0.0,53.2,中
st板块个股,其他,未知,1,0.0,53.1,中
某A股上市公司,上市公司,未知,1,0.0,53.0,中
券商、保险、银行,其他,未知,1,0.0,53.0,中
真猴,上市公司,未知,1,0.0,52.9,中
平安公司,上市公司,未知,1,0.0,52.9,中
万科,上市公司,未知,2,0.0,52.7,中
汇金,其他,未知,1,0.0,52.7,中
中国大陆的科幻股,其他,未知,1,0.0,52.7,中
上海银行,银行,未知,2,0.0,52.650000000000006,中
青农商行,其他,未知,2,0.0,52.65,中
风华高科,上市公司,未知,1,0.0,52.6,中
深发展银行,银行,未知,1,0.0,52.6,中
岚货,其他,未知,2,0.0,52.6,中
A股,上市公司,未知,1,0.0,52.5,中
傻13科技,其他,未知,1,0.0,52.5,中
老登股,上市公司,未知,1,0.0,52.4,中
某基金公司,基金,未知,1,0.0,52.4,中
中小银行,银行,未知,1,0.0,52.4,中
未知机构,其他,未知,1,0.0,52.4,中
某某房地产公司,上市公司,未知,1,0.0,52.3,中
科技垃圾股,其他,未知,1,0.0,52.2,中
五大行,银行,未知,1,0.0,52.2,中
某某基金公司,基金,未知,1,0.0,52.2,中
日本央行,其他,未知,1,0.0,51.9,中
创业板指数,其他,未知,1,0.0,51.9,中
卓越领先的智能化零售银行,银行,未知,2,0.0,51.65,中
股份银行,银行,未知,1,0.0,51.6,中
某某股份有限公司,上市公司,未知,1,0.0,51.5,中
韩建河山,上市公司,未知,2,0.0,51.4,中
杂凑匕,其他,未知,1,0.0,51.4,中
Z,其他,未知,1,0.0,51.4,中
中科金财,上市公司,未知,4,0.0,51.125,中
冀光恒,上市公司,未知,1,0.0,50.9,中
工商银行,银行,未知,1,0.0,50.0,中
浙商银行股份有限公司,银行,浙江,1,0.0,50.0,中
恒星科技,上市公司,未知,1,0.0,49.8,中
莱伯泰科,上市公司,未知,1,0.0,49.8,中
上海证券交易所,其他,上海,1,0.0,49.8,中
博通,上市公司,未知,1,0.0,49.8,中
宏达电子,上市公司,未知,1,0.0,49.8,中
华特气体,上市公司,未知,1,0.0,49.8,中
大族激光,上市公司,未知,1,0.0,49.8,中
ST晨鸣,上市公司,山东,1,0.0,49.0,中
德宏股份,上市公司,未知,1,0.0,49.0,中
交易所,其他,未知,1,0.0,49.0,中
拓山重工,上市公司,未知,1,0.0,49.0,中
沪硅产业,上市公司,未知,1,0.0,49.0,中
蓝科高新,上市公司,未知,1,0.0,49.0,中
上海奉天电子股份有限公司,上市公司,上海,1,0.0,49.0,中
三大交易所,证券,未知,1,0.0,49.0,中
国际航空运输协会,其他,未知,1,0.0,49.0,中
鑫科材料,上市公司,未知,2,0.0,49.0,中
深交所,证券,广东,1,0.0,47.5,中
东山精密,上市公司,未知,1,0.0,47.5,中
呈和科技,上市公司,未知,1,0.0,47.5,中
初灵信息,上市公司,未知,1,0.0,47.5,中
伯特利,上市公司,未知,1,0.0,47.5,中
爱施德,上市公司,未知,1,0.0,47.5,中
精达股份,上市公司,未知,2,0.0,47.5,中
江海股份,上市公司,未知,1,0.0,47.5,中
菲林格尔,上市公司,未知,1,0.0,47.5,中
康隆达,上市公司,未知,1,0.0,47.5,中
佳华科技,上市公司,未知,1,0.0,47.5,中
三博脑科,上市公司,未知,1,0.0,47.5,中
华源控股,上市公司,未知,2,0.0,47.15,中
深发展,上市公司,未知,2,0.0,47.05,中
瑞联新材,上市公司,未知,1,0.0,46.8,中
长飞光纤,上市公司,未知,2,0.0,46.55,中
富时A50,其他,未知,1,0.0,45.2,中
惠科股份,上市公司,未知,1,0.0,45.0,中
29股,上市公司,未知,1,0.0,45.0,中
中证金,其他,未知,2,0.0,44.8,中
万通发展,上市公司,未知,1,0.0,44.5,中
中车,上市公司,未知,1,0.0,43.7,中
农业银行,银行,未知,2,0.0,43.6,中
张差男,其他,未知,1,0.0,43.3,中
中际旭创,上市公司,未知,5,0.0,43.28,中
中移动,上市公司,未知,1,0.0,43.0,中
公司,上市公司,未知,2,0.0,42.45,中
易中天组装厂,其他,未知,1,0.0,42.3,中
中钨高新,上市公司,未知,1,0.0,42.2,中
华泰证券,证券,未知,4,0.0,42.05,中
中国证监会,其他,北京,3,0.0,41.666666666666664,中
中信建投,证券,未知,3,0.0,41.666666666666664,中
天洋新材,上市公司,未知,3,0.0,41.6,中
*ST中迪,上市公司,未知,1,0.0,40.0,中
易方达基金,基金,未知,1,0.0,40.0,中
中信建投证券,证券,北京,1,0.0,40.0,中
日联科技,上市公司,未知,1,0.0,40.0,中
中远海控,上市公司,未知,1,0.0,40.0,中
东方财富证券,证券,未知,1,0.0,40.0,中
*ST太和,上市公司,未知,1,0.0,40.0,中
迈赫股份,上市公司,未知,1,0.0,40.0,中
上交所,其他,上海,2,0.0,40.0,中
沪电股份,上市公司,未知,1,0.0,40.0,中
韩国KOSDAQ市场,其他,未知,1,0.0,40.0,中
通富微电,上市公司,未知,1,0.0,40.0,中
证监会,其他,北京,1,0.0,40.0,中
艾德生物,上市公司,未知,1,0.0,40.0,中
私募基金行业,基金,未知,1,0.0,40.0,中
瑞典北欧斯安银行,银行,未知,1,0.0,40.0,中
淳中科技,上市公司,未知,1,0.0,40.0,中
京东方A,上市公司,未知,1,0.0,40.0,中
悦心健康,上市公司,未知,1,0.0,40.0,中
中证协,其他,未知,1,0.0,40.0,中
中策橡胶,上市公司,未知,1,0.0,40.0,中
新睿电子,上市公司,未知,1,0.0,40.0,中
新宙邦,上市公司,未知,1,0.0,40.0,中
五洋自控,上市公司,未知,2,0.0,40.0,中
寒锐钴业,上市公司,江西,1,0.0,40.0,中
华峰化学,上市公司,浙江,1,0.0,40.0,中
ST人福,上市公司,未知,1,0.0,40.0,中
共达电声,上市公司,浙江,1,0.0,40.0,中
银行,银行,未知,1,0.0,39.9,中
格力电器,上市公司,广东,2,0.0,39.5,中
鼎通科技,上市公司,未知,2,0.0,39.5,中
中国银河证券,证券,未知,2,0.0,38.4,中
中国证券投资基金业协会,基金,北京,3,0.0,38.333333333333336,中
易中天,其他,未知,1,0.0,38.2,中
某某保险和券商,"保险, 证券",未知,1,0.0,38.1,中
中信证券,证券,未知,4,0.0,37.5,中
嘉美包装,上市公司,未知,2,0.0,37.25,中
中重科技,上市公司,未知,2,0.0,35.0,中
博杰股份,上市公司,未知,2,0.0,35.0,中
东方财富网,其他,未知,2,0.0,35.0,中
郑州银行,银行,河南,1,0.0,34.5,中
云涌科技,上市公司,未知,1,0.0,34.5,中
德福科技,上市公司,未知,1,0.0,34.5,中
合肥城建,上市公司,未知,1,0.0,34.5,中
江波龙,上市公司,未知,2,0.0,34.5,中
拓新药业,上市公司,未知,1,0.0,34.5,中
日月明,上市公司,未知,1,0.0,34.5,中
中国商飞,上市公司,广东,1,0.0,32.4,中
东材科技,上市公司,未知,2,0.0,32.25,中
某某股票,上市公司,未知,1,0.0,32.0,中
温氏股份(SZ300498),上市公司,未知,1,0.0,31.7,中
聚飞光电,上市公司,未知,1,0.0,30.0,低
新华网,上市公司,北京,1,0.0,30.0,低
中芯国际,上市公司,未知,1,0.0,30.0,低
招商证券,证券,未知,1,0.0,30.0,低
九号公司,上市公司,未知,1,0.0,30.0,低
久吾高科,上市公司,未知,1,0.0,30.0,低
亨通光电,上市公司,江苏,1,0.0,30.0,低
天准科技,上市公司,未知,1,0.0,30.0,低
奇瑞汽车,上市公司,未知,1,0.0,30.0,低
大悦城,上市公司,未知,1,0.0,30.0,低
广汽集团,上市公司,未知,1,0.0,30.0,低
山东墨龙,上市公司,未知,2,0.0,30.0,低
开源证券,证券,未知,1,0.0,30.0,低
摩根士丹利,证券,未知,1,0.0,30.0,低
华大智造,上市公司,未知,1,0.0,30.0,低
长鑫科技集团股份有限公司,上市公司,未知,1,0.0,30.0,低
金马游乐,上市公司,未知,1,0.0,30.0,低
重庆再升科技股份有限公司,上市公司,重庆,1,0.0,30.0,低
